nom_lilly,annee,rem,boites,bse,cout_boite,taux_remb_pct
Cymbalta,2016,12197916.45,844535,14795831.31,14.44,82.4
Cymbalta,2017,6656894.88,499646,8008060.85,13.32,83.1
Cymbalta,2018,3269003.33,415250,3919848.85,7.87,83.4
Cymbalta,2019,2245043.68,367542,2684850.3,6.11,83.6
Cymbalta,2020,783140.21,154801,944882.95,5.06,82.9
Cymbalta,2021,734162.4,147028,882154.11,4.99,83.2
Cymbalta,2022,625298.37,137519,749843.61,4.55,83.4
Cymbalta,2023,477686.03,130270,576036.38,3.67,82.9
Cymbalta,2024,536669.69,132794,645142.37,4.04,83.2
Cymbalta,2025,478021.27,121014,574711.84,3.95,83.2
Jardiance,2021,1038534.84,27267,1070753.8,38.09,97.0
Jardiance,2022,12588193.0,332683,12948882.06,37.84,97.2
Jardiance,2023,45013210.55,1197114,46367321.73,37.6,97.1
Jardiance,2024,94253718.96000001,2508521,97023009.78,37.57,97.1
Jardiance,2025,142364634.39000002,3787245,146533052.15,37.59,97.2
Trulicity,2016,23921177.29,268174,24515101.68,89.2,97.6
Trulicity,2017,64439087.55,746535,65865023.160000004,86.32,97.8
Trulicity,2018,94047460.02,1109573,95894827.57,84.76,98.1
Trulicity,2019,123186786.69,1526933,125286681.94,80.68,98.3
Trulicity,2020,150725340.49,1903875,153198686.5,79.17,98.4
Trulicity,2021,185007038.48,2333991,187993710.48,79.27,98.4
Trulicity,2022,246269931.35,3090305,250171696.43,79.69,98.4
Trulicity,2023,294181185.21,3687840,298987284.68,79.77,98.4
Trulicity,2024,272431742.17,3402352,276535202.1,80.07,98.5
Trulicity,2025,299840659.5,3739093,303659473.59,80.19,98.7
Verzenio,2019,9361671.75,4561,9432226.68,2052.55,99.3
Verzenio,2020,40816889.68,16975,40999897.35,2404.53,99.6
Verzenio,2021,68285290.95,27169,68680536.01,2513.35,99.4
Verzenio,2022,98540197.61,38165,99100973.98,2581.95,99.4
Verzenio,2023,149642719.84,57978,150634554.2,2581.03,99.3
Verzenio,2024,172648527.95,95290,173916676.59,1811.82,99.3
Verzenio,2025,224735379.67,132461,226236529.41,1696.62,99.3
