annee,rem,boites,cout_boite,rem_contrefactuel,economie_prix
2016,12197916.45,844535,14.443352199731212,12197916.45,0.0
2017,6656894.88,499646,13.323222601601934,7216563.1531869015,559668.2731869016
2018,3269003.33,415250,7.872374063816978,5997602.000938386,2728598.6709383857
2019,2245043.68,367542,6.108264307208429,5308538.554193609,3063494.874193609
2020,783140.21,154801,5.059012603277757,2235845.3638705914,1452705.1538705914
2021,734162.4,147028,4.9933509263541636,2123577.187222081,1389414.7872220809
2022,625298.37,137519,4.5469961968891575,1986235.3511548366,1360936.9811548367
2023,477686.03,130270,3.6668920703154986,1881535.491058985,1403849.461058985
2024,536669.69,132794,4.0413700167176225,1917990.5120111066,1381320.8220111066
2025,478021.27,121014,3.9501319682020264,1747847.8230982728,1269826.5530982728
